Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Get data order,,,,2022-03-24 12:25:06,2022-03-24 12:25:14,7.809s,FAILED
,,,,,,,
Test Cases/1. get token - data order,,,,2022-03-24 12:25:07,2022-03-24 12:25:14,6.761s,FAILED
"token = sendRequest(findTestObject(""1. Get-Token""))",,,,2022-03-24 12:25:09,2022-03-24 12:25:10,1.165s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-03-24 12:25:10,2022-03-24 12:25:10,0.008s,PASSED
get_token = slurper.parseText(token.getResponseBodyContent()),,,,2022-03-24 12:25:10,2022-03-24 12:25:10,0.015s,PASSED
private_token = access_token,,define / field api,,2022-03-24 12:25:10,2022-03-24 12:25:10,0.008s,PASSED
global_token = private_token,,store var to global variable,,2022-03-24 12:25:10,2022-03-24 12:25:10,0.058s,PASSED
"println(""token is :"" + global_token)",,,,2022-03-24 12:25:10,2022-03-24 12:25:10,0.002s,PASSED
response_token = token.getResponseText(),,show response to report in test suite,,2022-03-24 12:25:10,2022-03-24 12:25:10,0.001s,PASSED
logInfo($response_token),,,,2022-03-24 12:25:10,2022-03-24 12:25:10,0.026s,PASSED
"order = sendRequest(findTestObject(""3. Get-data-order"", [""s_key"":global_token, ""c_id"":c_id, ""order_date"":order_date, ""page"":page, ""rows"":rows]))",,,,2022-03-24 12:25:10,2022-03-24 12:25:11,1.036s,PASSED
get_order = order.getResponseText(),,show response to report in test suite,,2022-03-24 12:25:11,2022-03-24 12:25:11,0.000s,PASSED
"markPassed(""data ke : "" + no)",,,,2022-03-24 12:25:11,2022-03-24 12:25:11,0.004s,PASSED
"verifyElementPropertyValue(order, ""GetDataOrderResponse.ListDataOrder[0].TipeOrder"", o_tipeorder, CONTINUE_ON_FAILURE)",,verifikasi data loan,,2022-03-24 12:25:11,2022-03-24 12:25:11,0.044s,PASSED
"verifyElementPropertyValue(order, ""GetDataOrderResponse.ListDataOrder[0].BatchID"", o_batchid, CONTINUE_ON_FAILURE)",,,,2022-03-24 12:25:11,2022-03-24 12:25:11,0.027s,PASSED
"verifyElementPropertyValue(order, ""GetDataOrderResponse.ListDataOrder[0].NoRek"", o_norek, CONTINUE_ON_FAILURE)",,,,2022-03-24 12:25:11,2022-03-24 12:25:11,0.031s,PASSED
"verifyElementPropertyValue(order, ""GetDataOrderResponse.ListDataOrder[0].NoPin"", o_nopin, CONTINUE_ON_FAILURE)",,,,2022-03-24 12:25:11,2022-03-24 12:25:11,0.029s,PASSED
