Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3. Get feedback insurance -,,,,2022-03-29 10:26:58,2022-03-29 10:27:18,19.117s,PASSED
,,,,,,,
Test Cases/3. get token - feedback insurance,,,,2022-03-29 10:26:59,2022-03-29 10:27:09,9.842s,PASSED
"token = sendRequest(findTestObject(""1. Get-Token""))",,,,2022-03-29 10:27:00,2022-03-29 10:27:01,1.264s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-03-29 10:27:01,2022-03-29 10:27:01,0.010s,PASSED
get_token = slurper.parseText(token.getResponseBodyContent()),,,,2022-03-29 10:27:01,2022-03-29 10:27:01,0.019s,PASSED
private_token = access_token,,define / field api,,2022-03-29 10:27:01,2022-03-29 10:27:01,0.009s,PASSED
global_token = private_token,,store var to global variable,,2022-03-29 10:27:01,2022-03-29 10:27:01,0.066s,PASSED
"println(""token is :"" + global_token)",,,,2022-03-29 10:27:01,2022-03-29 10:27:01,0.010s,PASSED
response_token = token.getResponseText(),,show response to report in test suite,,2022-03-29 10:27:01,2022-03-29 10:27:01,0.001s,PASSED
logInfo($response_token),,,,2022-03-29 10:27:01,2022-03-29 10:27:01,0.031s,PASSED
"feedback = sendRequest(findTestObject(""4. Feedback-ins"", [""s_key"":global_token, ""batchid"":batchid, ""norek"":norek, ""nopin"":nopin, ""custname"":custname, ""pemohon"":pemohon, ""branchid"":branchid, ... ]))",,,,2022-03-29 10:27:01,2022-03-29 10:27:09,7.730s,PASSED
response_feedback = feedback.getResponseText(),,show response to report in test suite,,2022-03-29 10:27:09,2022-03-29 10:27:09,0.001s,PASSED
"markPassed(""result feedback data : "" + no + "" norek : "" + norek + "" nopin : "" + nopin)",,,,2022-03-29 10:27:09,2022-03-29 10:27:09,0.006s,PASSED
logInfo($response_feedback),,,,2022-03-29 10:27:09,2022-03-29 10:27:09,0.001s,PASSED
"verifyElementPropertyValue(feedback, ""FeedbackCarInsuranceResponse.errorMessage"", ""Sukses"", CONTINUE_ON_FAILURE)",,,,2022-03-29 10:27:09,2022-03-29 10:27:09,0.048s,PASSED
,,,,,,,
Test Cases/3. get token - feedback insurance,,,,2022-03-29 10:27:09,2022-03-29 10:27:14,4.283s,PASSED
"token = sendRequest(findTestObject(""1. Get-Token""))",,,,2022-03-29 10:27:10,2022-03-29 10:27:10,0.242s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-03-29 10:27:10,2022-03-29 10:27:10,0.000s,PASSED
get_token = slurper.parseText(token.getResponseBodyContent()),,,,2022-03-29 10:27:10,2022-03-29 10:27:10,0.000s,PASSED
private_token = access_token,,define / field api,,2022-03-29 10:27:10,2022-03-29 10:27:10,0.001s,PASSED
global_token = private_token,,store var to global variable,,2022-03-29 10:27:10,2022-03-29 10:27:10,0.000s,PASSED
"println(""token is :"" + global_token)",,,,2022-03-29 10:27:10,2022-03-29 10:27:10,0.000s,PASSED
response_token = token.getResponseText(),,show response to report in test suite,,2022-03-29 10:27:10,2022-03-29 10:27:10,0.000s,PASSED
logInfo($response_token),,,,2022-03-29 10:27:10,2022-03-29 10:27:10,0.000s,PASSED
"feedback = sendRequest(findTestObject(""4. Feedback-ins"", [""s_key"":global_token, ""batchid"":batchid, ""norek"":norek, ""nopin"":nopin, ""custname"":custname, ""pemohon"":pemohon, ""branchid"":branchid, ... ]))",,,,2022-03-29 10:27:10,2022-03-29 10:27:14,3.907s,PASSED
