Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3. Get feedback insurance - Batch 1,,,,2022-03-29 17:44:29,2022-03-29 17:44:36,7.353s,FAILED
,,,,,,,
Test Cases/3. get token - feedback insurance,,,,2022-03-29 17:44:29,2022-03-29 17:44:32,2.737s,FAILED
"token = sendRequest(findTestObject(""1. Get-Token""))",,,,2022-03-29 17:44:30,2022-03-29 17:44:31,1.166s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-03-29 17:44:31,2022-03-29 17:44:31,0.010s,PASSED
get_token = slurper.parseText(token.getResponseBodyContent()),,,,2022-03-29 17:44:31,2022-03-29 17:44:31,0.019s,PASSED
private_token = access_token,,define / field api,,2022-03-29 17:44:31,2022-03-29 17:44:31,0.009s,PASSED
global_token = private_token,,store var to global variable,,2022-03-29 17:44:31,2022-03-29 17:44:31,0.066s,PASSED
"println(""token is :"" + global_token)",,,,2022-03-29 17:44:31,2022-03-29 17:44:31,0.003s,PASSED
response_token = token.getResponseText(),,show response to report in test suite,,2022-03-29 17:44:31,2022-03-29 17:44:31,0.000s,PASSED
logInfo($response_token),,,,2022-03-29 17:44:31,2022-03-29 17:44:31,0.031s,PASSED
"feedback = sendRequest(findTestObject(""4. Feedback-ins"", [""s_key"":global_token, ""batchid"":batchid, ""norek"":norek, ""nopin"":nopin, ""custname"":custname, ""pemohon"":pemohon, ""branchid"":branchid, ... ]))",,,,2022-03-29 17:44:31,2022-03-29 17:44:32,0.713s,PASSED
response_feedback = feedback.getResponseText(),,show response to report in test suite,,2022-03-29 17:44:32,2022-03-29 17:44:32,0.000s,PASSED
"markPassed(""result feedback data : "" + no + "" norek : "" + norek + "" nopin : "" + nopin)",,,,2022-03-29 17:44:32,2022-03-29 17:44:32,0.006s,PASSED
logInfo($response_feedback),,,,2022-03-29 17:44:32,2022-03-29 17:44:32,0.000s,PASSED
"verifyElementPropertyValue(feedback, ""FeedbackCarInsuranceResponse.errorMessage"", ""Sukses"", CONTINUE_ON_FAILURE)",,,,2022-03-29 17:44:32,2022-03-29 17:44:32,0.051s,FAILED
,,,,,,,
Test Cases/3. get token - feedback insurance,,,,2022-03-29 17:44:33,2022-03-29 17:44:34,0.984s,FAILED
"token = sendRequest(findTestObject(""1. Get-Token""))",,,,2022-03-29 17:44:33,2022-03-29 17:44:33,0.176s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-03-29 17:44:33,2022-03-29 17:44:33,0.000s,PASSED
get_token = slurper.parseText(token.getResponseBodyContent()),,,,2022-03-29 17:44:33,2022-03-29 17:44:33,0.000s,PASSED
private_token = access_token,,define / field api,,2022-03-29 17:44:33,2022-03-29 17:44:33,0.000s,PASSED
global_token = private_token,,store var to global variable,,2022-03-29 17:44:33,2022-03-29 17:44:33,0.000s,PASSED
"println(""token is :"" + global_token)",,,,2022-03-29 17:44:33,2022-03-29 17:44:33,0.001s,PASSED
response_token = token.getResponseText(),,show response to report in test suite,,2022-03-29 17:44:33,2022-03-29 17:44:33,0.000s,PASSED
logInfo($response_token),,,,2022-03-29 17:44:33,2022-03-29 17:44:33,0.001s,PASSED
"feedback = sendRequest(findTestObject(""4. Feedback-ins"", [""s_key"":global_token, ""batchid"":batchid, ""norek"":norek, ""nopin"":nopin, ""custname"":custname, ""pemohon"":pemohon, ""branchid"":branchid, ... ]))",,,,2022-03-29 17:44:33,2022-03-29 17:44:33,0.680s,PASSED
response_feedback = feedback.getResponseText(),,show response to report in test suite,,2022-03-29 17:44:33,2022-03-29 17:44:33,0.000s,PASSED
"markPassed(""result feedback data : "" + no + "" norek : "" + norek + "" nopin : "" + nopin)",,,,2022-03-29 17:44:33,2022-03-29 17:44:33,0.000s,PASSED
logInfo($response_feedback),,,,2022-03-29 17:44:33,2022-03-29 17:44:33,0.002s,PASSED
"verifyElementPropertyValue(feedback, ""FeedbackCarInsuranceResponse.errorMessage"", ""Sukses"", CONTINUE_ON_FAILURE)",,,,2022-03-29 17:44:33,2022-03-29 17:44:34,0.066s,FAILED
,,,,,,,
Test Cases/3. get token - feedback insurance,,,,2022-03-29 17:44:34,2022-03-29 17:44:35,0.849s,FAILED
"token = sendRequest(findTestObject(""1. Get-Token""))",,,,2022-03-29 17:44:34,2022-03-29 17:44:34,0.147s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-03-29 17:44:34,2022-03-29 17:44:34,0.000s,PASSED
get_token = slurper.parseText(token.getResponseBodyContent()),,,,2022-03-29 17:44:34,2022-03-29 17:44:34,0.001s,PASSED
private_token = access_token,,define / field api,,2022-03-29 17:44:34,2022-03-29 17:44:34,0.000s,PASSED
global_token = private_token,,store var to global variable,,2022-03-29 17:44:34,2022-03-29 17:44:34,0.000s,PASSED
"println(""token is :"" + global_token)",,,,2022-03-29 17:44:34,2022-03-29 17:44:34,0.001s,PASSED
response_token = token.getResponseText(),,show response to report in test suite,,2022-03-29 17:44:34,2022-03-29 17:44:34,0.000s,PASSED
logInfo($response_token),,,,2022-03-29 17:44:34,2022-03-29 17:44:34,0.001s,PASSED
"feedback = sendRequest(findTestObject(""4. Feedback-ins"", [""s_key"":global_token, ""batchid"":batchid, ""norek"":norek, ""nopin"":nopin, ""custname"":custname, ""pemohon"":pemohon, ""branchid"":branchid, ... ]))",,,,2022-03-29 17:44:34,2022-03-29 17:44:35,0.625s,PASSED
response_feedback = feedback.getResponseText(),,show response to report in test suite,,2022-03-29 17:44:35,2022-03-29 17:44:35,0.000s,PASSED
"markPassed(""result feedback data : "" + no + "" norek : "" + norek + "" nopin : "" + nopin)",,,,2022-03-29 17:44:35,2022-03-29 17:44:35,0.001s,PASSED
logInfo($response_feedback),,,,2022-03-29 17:44:35,2022-03-29 17:44:35,0.000s,PASSED
"verifyElementPropertyValue(feedback, ""FeedbackCarInsuranceResponse.errorMessage"", ""Sukses"", CONTINUE_ON_FAILURE)",,,,2022-03-29 17:44:35,2022-03-29 17:44:35,0.024s,FAILED
,,,,,,,
Test Cases/3. get token - feedback insurance,,,,2022-03-29 17:44:35,2022-03-29 17:44:36,0.818s,FAILED
"token = sendRequest(findTestObject(""1. Get-Token""))",,,,2022-03-29 17:44:35,2022-03-29 17:44:35,0.145s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-03-29 17:44:35,2022-03-29 17:44:35,0.000s,PASSED
get_token = slurper.parseText(token.getResponseBodyContent()),,,,2022-03-29 17:44:35,2022-03-29 17:44:35,0.001s,PASSED
private_token = access_token,,define / field api,,2022-03-29 17:44:35,2022-03-29 17:44:35,0.000s,PASSED
global_token = private_token,,store var to global variable,,2022-03-29 17:44:35,2022-03-29 17:44:35,0.000s,PASSED
"println(""token is :"" + global_token)",,,,2022-03-29 17:44:35,2022-03-29 17:44:35,0.000s,PASSED
response_token = token.getResponseText(),,show response to report in test suite,,2022-03-29 17:44:35,2022-03-29 17:44:35,0.000s,PASSED
logInfo($response_token),,,,2022-03-29 17:44:35,2022-03-29 17:44:35,0.000s,PASSED
"feedback = sendRequest(findTestObject(""4. Feedback-ins"", [""s_key"":global_token, ""batchid"":batchid, ""norek"":norek, ""nopin"":nopin, ""custname"":custname, ""pemohon"":pemohon, ""branchid"":branchid, ... ]))",,,,2022-03-29 17:44:35,2022-03-29 17:44:36,0.595s,PASSED
response_feedback = feedback.getResponseText(),,show response to report in test suite,,2022-03-29 17:44:36,2022-03-29 17:44:36,0.000s,PASSED
"markPassed(""result feedback data : "" + no + "" norek : "" + norek + "" nopin : "" + nopin)",,,,2022-03-29 17:44:36,2022-03-29 17:44:36,0.000s,PASSED
logInfo($response_feedback),,,,2022-03-29 17:44:36,2022-03-29 17:44:36,0.001s,PASSED
"verifyElementPropertyValue(feedback, ""FeedbackCarInsuranceResponse.errorMessage"", ""Sukses"", CONTINUE_ON_FAILURE)",,,,2022-03-29 17:44:36,2022-03-29 17:44:36,0.021s,FAILED
