Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sample Feedback,,,,2022-07-22 10:28:23,2022-07-22 10:31:21,2m - 58.523s,PASSED
,,,,,,,
Test Cases/4. get token - feedback insurance new,,,,2022-07-22 10:28:25,2022-07-22 10:28:35,10.455s,PASSED
"token = sendRequest(findTestObject(""1. Get-Token""))",,,,2022-07-22 10:28:29,2022-07-22 10:28:31,2.741s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-07-22 10:28:31,2022-07-22 10:28:31,0.032s,PASSED
get_token = slurper.parseText(token.getResponseBodyContent()),,,,2022-07-22 10:28:31,2022-07-22 10:28:31,0.052s,PASSED
private_token = access_token,,define / field api,,2022-07-22 10:28:31,2022-07-22 10:28:31,0.024s,PASSED
global_token = private_token,,store var to global variable,,2022-07-22 10:28:31,2022-07-22 10:28:32,0.256s,PASSED
"println(""token is :"" + global_token)",,,,2022-07-22 10:28:32,2022-07-22 10:28:32,0.021s,PASSED
response_token = token.getResponseText(),,show response to report in test suite,,2022-07-22 10:28:32,2022-07-22 10:28:32,0.005s,PASSED
logInfo($response_token),,,,2022-07-22 10:28:32,2022-07-22 10:28:32,0.094s,PASSED
"feedback = sendRequest(findTestObject(""4. Feedback-ins2"", [""s_key"":global_token, ""batchid"":batchid, ""norek"":norek, ""nopin"":nopin, ""custname"":custname, ""pemohon"":pemohon, ""branchid"":branchid, ... ]))",,,,2022-07-22 10:28:32,2022-07-22 10:28:35,3.043s,PASSED
response_feedback = feedback.getResponseText(),,show response to report in test suite,,2022-07-22 10:28:35,2022-07-22 10:28:35,0.005s,PASSED
"markPassed(""result feedback data : "" + no + "" norek : "" + norek + "" nopin : "" + nopin)",,,,2022-07-22 10:28:35,2022-07-22 10:28:35,0.038s,PASSED
logInfo($response_feedback),,,,2022-07-22 10:28:35,2022-07-22 10:28:35,0.002s,PASSED
"verifyElementPropertyValue(feedback, ""ResponseHeader.MessageName"", ""Data Sudah Pernah Disubmit"", CONTINUE_ON_FAILURE)",,,,2022-07-22 10:28:35,2022-07-22 10:28:35,0.198s,PASSED
,,,,,,,
Test Cases/4. get token - feedback insurance new,,,,2022-07-22 10:28:35,2022-07-22 10:28:39,4.238s,PASSED
"token = sendRequest(findTestObject(""1. Get-Token""))",,,,2022-07-22 10:28:37,2022-07-22 10:28:37,0.168s,PASSED
slurper = new groovy.json.JsonSlurper(),,store json response to variable,,2022-07-22 10:28:37,2022-07-22 10:28:37,0.001s,PASSED
